S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
68,GLH,263.00,6.90,2.69,261.00,265.00,256.00,"120,924.00",256.10
69,GMFBS,"1,830.00",25.00,1.39,"1,838.00","1,877.00","1,800.00","3,169.00","1,805.00"
70,GMFIL,486.50,17.60,3.75,472.90,491.00,455.10,"24,486.00",468.90
71,GRDBL,"1,850.00",140.00,8.19,"1,675.80","1,871.20","1,587.70","101,708.00","1,710.00"
72,GUFL,594.50,14.50,2.50,580.00,615.00,580.00,"18,614.00",580.00
73,GVL,562.00,12.90,2.35,540.00,568.00,540.00,"23,533.00",549.10
74,H8020,9.90,-0.07,-0.70,9.81,10.00,9.81,"1,700.00",9.97
75,HATHY,"1,415.00",0.00,0.00,"1,438.00","1,438.00","1,400.00","48,835.00","1,415.00"
76,HBL,223.00,0.00,0.00,222.90,224.00,220.10,"62,008.00",223.00
77,HBLD86,"1,125.00",-15.00,-1.32,"1,125.00","1,125.00","1,125.00",115.00,"1,140.00"
78,HDHPC,196.00,0.20,0.10,199.60,199.60,194.30,"108,326.00",195.80
79,HDL,"1,155.50",-3.40,-0.29,"1,160.00","1,169.90","1,155.00","33,458.00","1,158.90"
80,HEI,642.00,4.00,0.63,628.00,653.00,628.00,"30,119.00",638.00
81,HEIP,443.90,-10.00,-2.20,450.00,450.00,436.10,"1,085.00",453.90
82,HHL,596.00,15.10,2.60,580.90,605.00,572.10,"71,544.00",580.90
83,HIDCL,249.00,5.10,2.09,243.00,252.00,243.00,"146,352.00",243.90
84,HIDCLP,169.00,3.00,1.81,168.00,170.00,165.30,"364,381.00",166.00
85,HLBSL,"1,025.00",58.00,6.00,986.30,"1,063.00",986.30,"29,992.00",967.00
86,HLI,478.00,3.10,0.65,484.30,484.30,475.00,"80,479.00",474.90
87,HPPL,581.00,25.50,4.59,544.40,585.00,544.40,"338,045.00",555.50
88,HRL,848.10,16.10,1.94,840.00,855.00,832.00,"161,727.00",832.00
89,HURJA,241.30,6.80,2.90,232.00,242.50,232.00,"229,415.00",234.50
90,ICFC,631.00,2.00,0.32,640.00,640.00,618.50,"32,780.00",629.00
91,ICFCD83,"1,205.00",-10.00,-0.82,"1,205.00","1,205.00","1,205.00",25.00,"1,215.00"
92,IGI,586.00,7.00,1.21,586.00,587.00,575.00,"13,420.00",579.00
93,IHL,770.00,-14.00,-1.79,769.20,780.00,765.00,"47,884.00",784.00
94,ILBS,979.70,23.60,2.47,945.10,992.00,945.10,"5,465.00",956.10
95,ILI,483.00,1.20,0.25,476.00,484.90,476.00,"23,397.00",481.80
96,JBBD87,"1,047.00",-13.00,-1.23,"1,046.00","1,047.00","1,046.00",75.00,"1,060.00"
97,JBBL,361.20,12.70,3.64,352.00,363.00,349.20,"114,922.00",348.50
98,JBLB,"1,356.10",1.10,0.08,"1,355.00","1,365.00","1,343.00","4,397.00","1,355.00"
99,JFL,512.80,46.60,10.00,475.00,512.80,475.00,"119,169.00",466.20
100,JOSHI,415.00,5.00,1.22,415.00,415.00,408.00,"82,890.00",410.00
101,JSLBB,"1,608.90",-18.90,-1.16,"1,630.00","1,630.00","1,600.00","1,312.00","1,627.80"
102,KBL,196.30,1.30,0.67,196.00,198.00,193.10,"173,515.00",195.00
103,KBLD86,"1,100.00",11.90,1.09,"1,086.10","1,100.00","1,086.00",150.00,"1,088.10"
104,KBLD89,"1,165.00",22.30,1.95,"1,165.00","1,165.00","1,165.00",260.00,"1,142.70"
105,KBSH,"2,475.00",31.90,1.31,"2,480.00","2,485.00","2,440.10","1,232.00","2,443.10"
106,KDBY,9.18,0.00,0.00,9.00,9.23,9.00,"8,790.00",9.18
107,KDL,"1,095.00",12.00,1.11,"1,070.10","1,100.00","1,070.10","4,672.00","1,083.00"
108,KEF,8.84,-0.23,-2.54,8.90,8.90,8.74,"8,100.00",9.07
109,KKHC,385.00,10.10,2.69,376.00,386.00,373.00,"77,016.00",374.90
110,KMCDB,"1,115.00",10.00,0.90,"1,100.00","1,119.00","1,099.00","5,588.00","1,105.00"
111,KPCL,558.00,3.00,0.54,555.00,580.00,555.00,"54,497.00",555.00
112,KSBBL,454.00,14.00,3.18,447.00,455.00,441.50,"65,077.00",440.00
113,KSBBLD87,"1,050.90",3.80,0.36,"1,050.90","1,050.90","1,050.90",25.00,"1,047.10"
114,KSY,8.54,-0.15,-1.73,8.54,8.54,8.54,100.00,8.69
115,LBBL,455.10,10.10,2.27,440.30,460.00,440.30,"59,031.00",445.00
116,LBBLD89,"1,195.00",25.00,2.14,"1,195.00","1,195.00","1,195.00",45.00,"1,170.00"
117,LEC,210.00,3.00,1.45,211.00,211.00,207.00,"48,038.00",207.00
118,LICN,"1,077.00",-5.90,-0.54,"1,073.10","1,090.00","1,070.00","11,146.00","1,082.90"
119,LLBS,"1,120.00",17.90,1.62,"1,115.00","1,168.00","1,086.00","4,558.00","1,102.10"
120,LSL,208.00,1.50,0.73,206.10,210.00,206.00,"166,646.00",206.50
121,LUK,9.35,0.05,0.54,9.28,9.35,9.28,230.00,9.30
122,LVF2,9.05,-0.06,-0.66,9.06,9.06,9.05,"1,200.00",9.11
123,MAKAR,779.00,39.10,5.28,743.00,779.00,735.10,"109,651.00",739.90
124,MANDU,990.00,14.00,1.43,977.00,994.00,977.00,"8,077.00",976.00
125,MATRI,"1,189.50",-3.40,-0.29,"1,170.30","1,214.90","1,170.00","2,373.00","1,192.90"
126,MBJC,374.90,7.00,1.90,367.00,379.00,363.50,"172,190.00",367.90
127,MBL,223.00,0.50,0.22,224.90,224.90,219.00,"49,037.00",222.50
128,MBLD87,"1,030.00",3.00,0.29,"1,030.00","1,030.00","1,030.00",100.00,"1,027.00"
129,MBLPO,100.00,0.00,0.00,100.00,100.00,100.00,"300,258.00",100.00
130,MCHL,687.50,-2.40,-0.35,700.00,700.00,684.00,"18,408.00",689.90
131,MDB,715.00,58.00,8.83,670.00,718.00,662.40,"166,474.00",657.00
132,MEHL,566.00,17.10,3.12,545.10,577.00,545.10,"78,416.00",548.90
133,MEL,373.20,8.40,2.30,358.00,393.00,358.00,"195,658.00",364.80
134,MEN,640.00,10.10,1.60,625.10,680.00,620.00,"218,725.00",629.90
135,MERO,677.00,-3.00,-0.44,680.00,680.00,670.50,"9,239.00",680.00
136,MFIL,627.00,1.00,0.16,627.00,635.00,620.10,"20,874.00",626.00
137,MFLD85,"1,050.00",-3.00,-0.28,"1,050.00","1,051.00","1,050.00",450.00,"1,053.00"
138,MHCL,597.50,30.50,5.38,578.30,600.00,569.00,"126,564.00",567.00
139,MHL,920.00,4.10,0.45,915.90,991.20,897.60,"29,317.00",915.90
140,MHNL,281.90,11.90,4.41,273.00,285.00,265.00,"64,023.00",270.00
