S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
293,SPC,627.00,29.00,4.85,605.00,632.00,605.00,"186,334.00",598.00
294,SPDL,345.00,5.00,1.47,344.90,351.00,343.00,"167,367.00",340.00
295,SPHL,872.20,-2.80,-0.32,885.00,909.00,872.20,"12,654.00",875.00
296,SPIL,825.00,0.00,0.00,809.10,827.20,809.10,"8,978.00",825.00
297,SPL,"1,002.00",-22.90,-2.23,"1,024.90","1,050.00","1,000.30","8,752.00","1,024.90"
298,SRBLD83,"1,069.00",9.00,0.85,"1,048.00","1,069.00","1,047.70",75.00,"1,060.00"
299,SRLI,421.00,-0.10,-0.02,421.10,426.90,420.00,"63,766.00",421.10
300,SSHL,231.90,2.90,1.27,230.00,234.00,228.00,"127,358.00",229.00
301,STC,"5,300.00",-1.10,-0.02,"5,385.00","5,385.00","5,286.50","1,943.00","5,301.10"
302,SWBBL,865.00,-7.00,-0.80,857.00,875.00,856.00,"13,164.00",872.00
303,SWMF,753.00,3.00,0.40,760.00,763.00,745.10,"7,382.00",750.00
304,TAMOR,601.40,-11.60,-1.89,601.00,618.00,601.00,"96,506.00",613.00
305,TPC,590.00,16.20,2.82,581.00,605.00,577.00,"174,146.00",573.80
306,TRH,"1,175.00",21.00,1.82,"1,177.00","1,247.00","1,155.10","16,093.00","1,154.00"
307,TSHL,951.50,86.50,10.00,875.00,951.50,866.10,"43,928.00",865.00
308,TVCL,630.00,26.00,4.30,605.00,631.30,605.00,"81,696.00",604.00
309,UAIL,670.00,15.00,2.29,660.00,673.00,642.20,"24,447.00",655.00
310,UHEWA,874.00,19.00,2.22,872.00,879.20,855.00,"15,544.00",855.00
311,ULBSL,"4,675.00",425.00,10.00,"4,170.00","4,675.00","4,170.00","9,668.00","4,250.00"
312,ULHC,582.00,12.00,2.11,570.00,583.00,568.00,"68,427.00",570.00
313,UMHL,355.00,6.00,1.72,355.90,357.00,348.10,"169,395.00",349.00
314,UMRH,735.00,23.00,3.23,726.20,740.00,701.10,"204,935.00",712.00
315,UNHPL,359.00,19.00,5.59,346.70,367.00,339.00,"348,804.00",340.00
316,UNL,"46,500.00",500.00,1.09,"46,000.00","46,500.00","46,000.00",30.00,"46,000.00"
317,UNLB,"2,700.00",20.00,0.75,"2,635.00","2,888.60","2,630.00","13,647.00","2,680.00"
318,UPCL,302.50,17.50,6.14,289.90,307.00,286.00,"370,719.00",285.00
319,UPPER,201.70,0.20,0.10,204.90,204.90,200.00,"183,431.00",201.50
320,USHEC,735.00,10.20,1.41,712.00,752.00,712.00,"39,476.00",724.80
321,USHL,832.20,10.70,1.30,825.00,835.00,814.00,"10,101.00",821.50
322,USLB,"1,545.00",9.00,0.59,"1,523.10","1,565.00","1,523.10","3,186.00","1,536.00"
323,VLBS,839.10,-1.90,-0.23,857.00,874.00,839.10,"6,951.00",841.00
324,VLUCL,756.00,17.00,2.30,738.00,770.00,732.00,"62,185.00",739.00
325,WNLB,"2,758.10",-25.90,-0.93,"2,733.10","2,784.80","2,730.00","2,098.00","2,784.00"
